"Collar","Depth","Chk","Length","WeightDryAir","WeightWater","WeightWaterSealed","FinalWeightNoSealed","Chk1","SpecificGravity_1","Vol_1","Vol_2","DifVol","SpecificGravity_2","SpecificGravityComment"
"JES-25-103","12.95","0","12","1039.5","1044.1","420.2","1039.5","0","2.47","1000","1420","420","2.48",""
"JES-25-103","18.85","0","16","1328.5","1333.1","555.1","1328.7","3","2.39","1000","1540","540","2.46",""
"JES-25-103","30.5","0","10","1789.9","1792.9","648.3","1789.5","2","2.76","1000","1660","660","2.71",""
"JES-25-103","32.15","0","15","1329.8","1333.3","539.3","1329.3","0","2.47","1000","1540","540","2.46",""
"JES-25-103","37.55","0","13","1308","1313.3","529.1","1307.5","2","2.47","1000","1520","520","2.52",""
"JES-25-103","42","0","13","1258.2","1262.9","514","1258.2","1","2.45","1000","1520","520","2.42",""
"JES-25-103","45.15","0","16","1430.8","1434.4","575.7","1430.4","1","2.49","1000","1580","580","2.47",""
"JES-25-103","47.6","0","10","953.9","957.9","381.4","953.1","2","2.5","1000","1390","390","2.45",""
"JES-25-103","54.7","0","13","1364.9","1366.5","529.2","1356.7","2","2.58","1000","1520","520","2.62",""
"JES-25-103","58.5","0","10","1008.5","1012.3","393","1008.7","1","2.57","1000","1390","390","2.59",""
"JES-25-103","61.7","0","11","1100.1","1103.6","413.7","1099.7","2","2.66","1000","1420","420","2.62",""
"JES-25-103","67.15","0","14","1401.8","1406.2","552.9","1401.7","2","2.54","1000","1560","560","2.5",""
"JES-25-103","74.43","0","10","1127.7","1131.2","425.9","1127.6","3","2.65","1000","1440","440","2.56",""
"JES-25-103","76.45","0","10","1100","1105","434.2","1100.6","1","2.53","1000","1440","440","2.5",""
"JES-25-103","77.59","0","15","1429.5","1434.9","597","1429.6","6","2.39","1000","1560","560","2.55",""
"JES-25-104","27.65","0","18","1362.2","1366.5","588.5","1362.3","1","2.31","1000","1585","585","2.33",""
"JES-25-104","41.1","0","17","1332.5","1338.1","520.4","1335.2","0","2.56","1000","1520","520","2.56",""
"JES-25-104","46.28","0","0.2","1766.1","1770.8","661.1","1765.6","0","2.67","1000","1660","660","2.68",""
"JES-25-104","49.05","0","0.13","1091","1095.8","433","1090.7","0","2.52","1000","1430","430","2.54",""
"JES-25-104","53.33","0","0.16","1466","1471.4","557.4","1465.6","2","2.63","1000","1545","545","2.69",""
"JES-25-104","54.83","0","0.15","1283.5","1287.4","474.9","1275.5","0","2.7","1000","1470","470","2.73",""
"JES-25-104","58.8","0","0.16","1373.7","1377.9","509","1373.3","1","2.7","1000","1515","515","2.67",""
"JES-25-104","60.57","0","16","1433.1","1436.9","540","1433.3","0","2.65","1000","1540","540","2.65",""
"JES-25-104","63.96","0","0.13","1136","1140","429.4","1136.9","2","2.65","1000","1420","420","2.7",""
"JES-25-104","74.42","0","0.14","1135.6","1140.1","452.3","1140.8","0","2.51","1000","1450","450","2.52",""
"JES-25-104","74.7","0","0.16","1498.1","1502.9","581.6","1497.3","0","2.58","1000","1580","580","2.58",""
"JES-25-104","79.02","0","0.23","1950.7","1956.6","748.8","1952","0","2.61","1000","1750","750","2.6",""
"JES-25-104","82.15","0","0.23","1950.7","1956.6","748.8","1952","0","2.61","1000","1750","750","2.6",""
"JES-25-104","86.08","0","0.18","1589.5","1595.2","608.3","1590.3","0","2.61","1000","1610","610","2.61",""
"JES-25-104","88.13","0","0.14","1153.3","1157.3","467.2","1152.4","2","2.47","1000","1460","460","2.51",""
"JES-25-104","90.65","0","0.15","1299.2","1302.6","495.4","1297.9","1","2.62","1000","1490","490","2.65",""
"JES-25-104","92.68","0","0.15","1206.3","1208.9","485.5","1202.9","1","2.48","1000","1480","480","2.51",""
"JES-25-104","97.65","0","0.16","1400.2","1405.9","555.4","1400.6","1","2.52","1000","1550","550","2.55",""
"JES-25-104","99.24","0","0.13","1009.9","1010.1","405","1009.9","1","2.49","1000","1410","410","2.46",""
"JES-25-105","2.8","0","13","939","943.2","386.4","939.2","2","2.43","1000","1380","380","2.47",""
"JES-25-105","7.7","0","10","751.8","755.4","310.6","751.8","4","2.42","1000","1300","300","2.51",""
"JES-25-105","8.85","0","11","734.8","738.1","311.3","734.8","4","2.36","1000","1300","300","2.45",""
"JES-25-105","26.61","0","14","1060.4","1064.1","413.6","1060.5","2","2.56","1000","1420","420","2.52",""
"JES-25-105","33.1","0","12","833.6","835.2","351.4","829.3","0","2.37","1000","1350","350","2.38",""
"JES-25-105","122.95","0","23","1776.4","1780.5","670.2","1775.1","0","2.65","1000","1670","670","2.65",""
"JES-25-105","122.4","0","20","1771.7","1776.2","665.8","1771.3","3","2.66","1000","1650","650","2.73",""
"JES-25-105","112.8","0","14","1243.9","1247.5","474.3","1243.9","1","2.62","1000","1470","470","2.65",""
"JES-25-105","36.24","0","11","854.5","857.3","354.6","854.5","1","2.41","1000","1350","350","2.44",""
"JES-25-105","44.25","0","11","834.2","837.4","330.8","834.4","4","2.52","1000","1320","320","2.61",""
"JES-25-105","47.17","0","12","878.3","878.4","345.5","879.3","2","2.54","1000","1340","340","2.58",""
"JES-25-105","47.95","0","19","1452.1","1456.6","549.1","1452.1","2","2.64","1000","1540","540","2.69",""
"JES-25-105","51.75","0","14","1070.5","1075.4","426.2","1070.4","2","2.51","1000","1420","420","2.55",""
"JES-25-105","58.9","0","12","911","912.7","375.7","911.7","6","2.42","1000","1400","400","2.28",""
"JES-25-105","63.15","0","20","1638.3","1642.1","622","1639.2","1","2.63","1000","1630","630","2.6",""
"JES-25-105","65.65","0","14","987.1","988.7","398.7","987.7","0","2.48","1000","1400","400","2.47",""
"JES-25-105","70.95","0","12","867.1","870.7","342.4","867.6","4","2.53","1000","1330","330","2.63",""
"JES-25-105","73.07","0","12","917.4","922.9","374.6","918","86","2.45","1000","1370","370","2.48",""
"JES-25-105","75.15","0","16","1143.6","1147.3","463.2","1142.4","1","2.47","1000","1460","460","2.49",""
"JES-25-105","78.35","0","15","1167.7","1171.5","471.4","1167.1","0","2.48","1000","1470","470","2.48",""
"JES-25-105","82.65","0","11","866.3","871.1","351.5","866.3","4","2.46","1000","1340","340","2.55",""
"JES-25-105","85.25","0","19","1444.3","1448.7","569.5","1442.4","2","2.54","1000","1560","560","2.58",""
"JES-25-105","89.1","0","12","916.2","920.8","372.6","915.7","1","2.46","1000","1370","370","2.48",""
"JES-25-105","91.6","0","12","960.9","965.2","385.5","960.1","2","2.49","1000","1380","380","2.53",""
"JES-25-105","95.43","0","14","1117.4","1121.8","449.8","1116.6","0","2.48","1000","1450","450","2.48",""
"JES-25-105","98.05","0","20","1660.8","1665.9","628.6","1660.7","2","2.64","1000","1620","620","2.68",""
"JES-25-105","102.55","0","14","1056.4","1061.9","409.9","1056.9","0","2.58","1000","1410","410","2.58",""
"JES-25-105","104.58","0","16","1305.7","1309.7","496.6","1305.5","1","2.63","1000","1490","490","2.66",""
"JES-25-105","54.63","0","11","830.1","834.8","335.1","830.1","2","2.48","1000","1330","330","2.52",""
"JES-25-106","51.11","0","0.11","915","919.9","360","916.8","3","2.54","1000","1350","350","2.61",""
"JES-25-106","60.75","0","0.11","935","940","351.7","936","1","2.66","1000","1355","355","2.63",""
"JES-25-106","62.67","0","0.1","930","930.5","363.7","929.4","4","2.56","1000","1350","350","2.66",""
"JES-25-106","64.72","0","0.14","1250","1251","468.4","1248.7","1","2.67","1000","1465","465","2.69",""
"JES-25-106","66.85","0","0.13","1100","1101.4","410","1099.7","3","2.68","1000","1400","400","2.75",""
"JES-25-106","70.5","0","0.19","1675","1679.3","635.5","1676.8","4","2.64","1000","1610","610","2.75",""
"JES-25-106","73.6","0","0.14","1090","1090.2","405.3","1088","1","2.69","1000","1400","400","2.73",""
"JES-25-106","77.65","0","0.12","1005","1009.3","382.4","1006.7","4","2.63","1000","1365","365","2.75",""
"JES-25-106","81.65","0","0.1","1160","1163.1","428.7","1160.7","2","2.71","1000","1420","420","2.76",""
"JES-25-107","2.5","0","16","1339.6","1344.8","502.1","1339.6","2","2.67","1000","1510","510","2.63",""
"JES-25-107","11.7","0","19","1429.9","1435","555.5","1429.8","1","2.57","1000","1550","550","2.6",""
"JES-25-107","19","0","15","1249.4","1254.9","480.3","1249.5","0","2.6","1000","1480","480","2.6",""
"JES-25-107","22.6","0","17","1245.1","1250.7","512.9","1244.3","2","2.43","1000","1520","520","2.39",""
"JES-25-107","25.8","0","17","1141.8","1147.1","532.4","1141.4","0","2.14","1000","1530","530","2.15",""
"JES-25-107","37.05","0","13","1003.6","1009.1","416.8","1003.4","1","2.41","1000","1420","420","2.39",""
"JES-25-107","39.7","0","11","922.2","926","369.6","922.8","0","2.5","1000","1370","370","2.49",""
"JES-25-107","43.55","0","14","1042.9","1047.7","404.3","1042.8","2","2.58","1000","1410","410","2.54",""
"JES-25-107","44.95","0","12","998","1002.8","386.6","997.9","2","2.58","1000","1380","380","2.63",""
"JES-25-107","50.25","0","14","1116.1","1120.3","420.4","1115.9","0","2.65","1000","1420","420","2.66",""
"JES-25-107","54.85","0","10","871.8","876.2","328.7","871","0","2.65","1000","1330","330","2.64",""
"JES-25-107","57.5","0","16","1430.7","1436.3","512.2","1430.7","1","2.79","1000","1510","510","2.81",""
"JES-25-107","61.8","0","18","1766.2","1771.8","523","1766.2","1","3.38","1000","1520","520","3.4",""
"JES-25-107","63.6","0","16","1595.7","1600","503.2","1595.4","1","3.17","1000","1510","510","3.13",""
"JES-25-107","67.6","0","24","1899.6","1903.7","703.7","1899.1","0","2.7","1000","1700","700","2.71",""
"JES-25-107","74.05","0","12","876","881.3","331.4","875.7","0","2.64","1000","1330","330","2.65",""
"JES-25-107","75.2","0","16","1359.2","1364.4","523.1","1359.1","0","2.6","1000","1520","520","2.61",""
"JES-25-107","77.1","0","11","987.3","991.7","371","987.2","0","2.66","1000","1370","370","2.67",""
"JES-25-107","97.1","0","17","1312.7","1317.9","507.4","1312.7","1","2.59","1000","1510","510","2.57",""
"JES-25-107","104","0","12","913.2","918","366.4","912.9","1","2.49","1000","1370","370","2.47",""
"JES-25-107","105.5","0","10","797.7","802.2","322.8","797.2","1","2.47","1000","1320","320","2.49",""
"JES-25-107","110.25","0","10","937.1","941.3","368.1","936.7","1","2.55","1000","1370","370","2.53",""
"JES-25-107","113.2","0","22","1762.4","1767.9","683.2","1762.1","2","2.58","1000","1670","670","2.63",""
"JES-25-107","113.85","0","19","1565.8","1571.4","603.2","1565.6","0","2.6","1000","1600","600","2.61",""
"JES-25-107","117.8","0","10","872.2","877.4","344","872.2","1","2.54","1000","1340","340","2.57",""
"JES-25-108","28.65","0","15","1074.1","1080.1","408","1074.2","0","2.63","1000","1410","410","2.62",""
"JES-25-108","29.95","0","16","1179.1","1185","456.6","1179","2","2.58","1000","1450","450","2.62",""
"JES-25-108","37.9","0","13","980.2","986.6","377.2","980.1","1","2.6","1000","1380","380","2.58",""
"JES-25-108","42.8","0","20","1613.2","11619.2","596.6","1612.6","1","2.7","1000","1590","590","2.73",""
"JES-25-108","61.25","0","15","1133.3","1138.4","442.4","1132.4","1","2.56","1000","1440","440","2.58",""
"JES-25-108","68.55","0","10","726.1","730.8","297.6","726.1","1","2.44","1000","1300","300","2.42",""
"JES-25-108","74.75","0","14","979.7","982.6","415.7","978.1","1","2.36","1000","1420","420","2.33",""
"JES-25-108","80.6","0","16","1141.4","1148.4","546.7","1141.4","0","2.09","1000","1550","550","2.08",""
"JES-25-108","83.6","0","16","1137.8","1143.1","440.4","1137.6","0","2.58","1000","1440","440","2.59",""
"JES-25-108","87.3","0","10","762.7","768.4","291.4","762.3","3","2.62","1000","1300","300","2.54",""
"JES-25-108","90.1","0","10","648.4","653","310.4","648","3","2.09","1000","1320","320","2.03",""
"JES-25-108","94.15","0","14","1066.8","1069.9","403.9","1066.8","2","2.64","1000","1410","410","2.6",""
"JES-25-108","45.3","0","14","1077.1","1082.5","425.7","1077.3","1","2.53","1000","1420","420","2.56",""
"JES-25-108","80.45","0","14","867.1","871.3","340.6","867.2","0","2.55","1000","1340","340","2.55",""
"JES-25-109","15.3","0","18","1270","1275.3","509","1270.1","0","2.5","1000","1510","510","2.49",""
"JES-25-109","21.4","0","8","596.4","600.9","248.1","595.8","3","2.4","1000","1240","240","2.48",""
"JES-25-109","26.15","0","14.1","957.3","963.7","443.2","956.6","1","2.16","1000","1450","450","2.13",""
"JES-25-109","28.8","0","10","698.1","703.3","308.1","697.8","3","2.27","1000","1300","300","2.33",""
"JES-25-109","32.1","0","8","557.1","561.7","266.3","557.1","1","2.09","1000","1270","270","2.06",""
"JES-25-109","33.1","0","18","1100.9","1106.4","510.5","1099.6","0","2.16","1000","1510","510","2.16",""
"JES-25-109","37.95","0","18","1333.2","1338.6","528.1","1333.5","2","2.52","1000","1520","520","2.56",""
"JES-25-109","40.25","0","14","1028.8","1034.6","449","1028","0","2.29","1000","1450","450","2.29",""
"JES-25-109","58.15","0","12","976.2","981.4","383.6","976.2","2","2.54","1000","1390","390","2.5",""
"JES-25-109","60.4","0","18","1387.7","1393.8","533.2","1387.7","1","2.6","1000","1530","530","2.62",""
"JES-25-109","65","0","11","795.8","801.4","331","795.7","0","2.4","1000","1330","330","2.41",""
"JES-25-109","65.6","0","20","1460.4","1466.2","570","1460.4","2","2.56","1000","1560","560","2.61",""
"JES-25-109","69.65","0","18","1322.9","1328.1","537.1","1322.6","0","2.46","1000","1540","540","2.45",""
"JES-25-109","71.9","0","14","1165.5","1170.6","455.4","1165.4","1","2.56","1000","1460","460","2.53",""
"JES-25-109","76.1","0","12","1144.3","1149","446.7","1144.3","1","2.56","1000","1450","450","2.54",""
"JES-25-109","77.85","0","16","1196.7","1200.6","457.3","1196.8","1","2.62","1000","1460","460","2.6",""
"JES-25-109","98.05","0","12","955.9","960.2","375.8","955.8","1","2.54","1000","1380","380","2.52",""
"JES-25-109","101.2","0","14","1106.5","1111.6","432.1","1106.1","0","2.56","1000","1430","430","2.57",""
"JES-25-109","103.2","0","12","1027.3","1031.7","394.9","1027.3","1","2.6","1000","1400","400","2.57",""
"JES-25-109","105","0","14","1099.1","1102.8","425.1","1099","4","2.59","1000","1440","440","2.5",""
"JES-25-109","107.5","0","18","1487.5","1492","556.7","1487.4","0","2.67","1000","1560","560","2.66",""
"JES-25-109","110.4","0","16","1329.3","1333.5","502","1329.2","0","2.65","1000","1500","500","2.66",""
"JES-25-109","115.2","0","20","1666.2","1670.8","639","1666","0","2.61","1000","1640","640","2.6",""
"JES-25-109","117.6","0","16","1294.4","1299.7","524.1","1294.3","1","2.47","1000","1530","530","2.44",""
"JES-25-110","5.9","0","10","1339.6","1344.8","502.1","1339.6","2","2.67","1000","1510","510","2.63",""
"JES-25-110","8.8","0","8","1429.9","1435","555.5","1429.5","1","2.57","1000","1550","550","2.6",""
"JES-25-110","12","0","10","1249.4","1254.9","480.3","1249.5","0","2.6","1000","1480","480","2.6",""
"JES-25-110","15.9","0","10","1245.1","1250.7","512.9","1244.3","2","2.43","1000","1520","520","2.39",""
"JES-25-110","22.7","0","12","1003.6","1009.1","416.8","1003.4","1","2.41","1000","1420","420","2.39",""
"JES-25-110","26.1","0","10","922.2","926","369.6","922.8","0","2.5","1000","1370","370","2.49",""
"JES-25-110","30.8","0","10","1042.9","1047.7","404.3","1042.8","2","2.58","1000","1410","410","2.54",""
"JES-25-110","35.2","0","14","998","1002.8","386.6","997.9","2","2.58","1000","1380","380","2.63",""
"JES-25-110","37.6","0","14","1116.1","1120.3","420.4","1115.9","0","2.65","1000","1420","420","2.66",""
"JES-25-110","40.6","0","10","871.8","876.2","328.7","871.1","0","2.65","1000","1330","330","2.64",""
"JES-25-110","43.7","0","10","1430.7","1436.3","512.2","1430.7","1","2.79","1000","1510","510","2.81",""
"JES-25-110","46","0","12","921.2","926.1","365.7","921.1","2","2.52","1000","1360","360","2.56",""
"JES-25-110","48.55","0","20","1649","1653.9","610.4","1649.1","0","2.7","1000","1610","610","2.7",""
"JES-25-110","50.5","0","15","1215","1220.5","463.7","1214.9","1","2.62","1000","1470","470","2.59",""
"JES-25-110","55.1","0","16","1387.1","1392.9","536.6","1387.1","2","2.58","1000","1530","530","2.62",""
"JES-25-110","57.7","0","14","1221.5","1226.1","462.1","1221.5","1","2.64","1000","1460","460","2.66",""
"JES-25-110","60.15","0","20","1774.7","1779.7","653","1774.6","0","2.72","1000","1650","650","2.73",""
"JES-25-110","63.55","0","14","1084.9","1089","428.5","1084.8","0","2.53","1000","1430","430","2.52",""
"JES-25-110","67.13","0","14","1015.9","1021.2","398.2","1015.8","0","2.55","1000","1400","400","2.54",""
"JES-25-110","71","0","10","685.5","689.8","271.1","685.5","0","2.53","1000","1270","270","2.54",""
"JES-25-110","73.6","0","18","1328.8","1332.6","497","1328.8","0","2.67","1000","1500","500","2.66",""
"JES-25-110","77.15","0","14","1175.8","1179.6","449.7","1174.9","0","2.61","1000","1450","450","2.61",""
"JES-25-110","78","0","20","1649.8","1654.9","606.4","1648.3","1","2.72","1000","1610","610","2.7",""
"JES-25-110","81.3","0","15","1228.3","1233.7","490.2","1228.3","0","2.51","1000","1490","490","2.51",""
"JES-25-110","86","0","14","1220.1","1224.8","453.1","1220.1","1","2.69","1000","1460","460","2.65",""
"JES-25-110","87.35","0","15","1248.3","1253.9","478.1","1248.4","0","2.61","1000","1480","480","2.6",""
"JES-25-110","90.3","0","14","1084.5","1089.7","440.4","1084.6","0","2.46","1000","1440","440","2.46",""
"JES-25-110","93.9","0","18","1448.3","1454.1","558.3","1448.4","0","2.59","1000","1560","560","2.59",""
"JES-25-110","96.75","0","18","1716.8","1722.8","569.4","1716.7","0","3.02","1000","1570","570","3.01",""
"JES-25-110","100.35","0","22","1916.7","1922.8","737.1","1916.7","1","2.6","1000","1730","730","2.63",""
"JES-25-110","103.5","0","12","1081.1","1086.4","432.2","1080.9","0","2.5","1000","1430","430","2.51",""
"JES-25-110","106.6","0","19","1496.5","1501.5","567.6","1496.4","1","2.64","1000","1560","560","2.67",""
"JES-25-110","110.22","0","16","1403.9","1408.7","536.1","1403.8","1","2.62","1000","1530","530","2.65",""
"JES-25-110","110.8","0","14","1007.6","1012.9","400.3","1007.7","0","2.52","1000","1400","400","2.52",""
"JES-25-110","114.4","0","18","1418.8","1424.2","567.3","1418.8","0","2.5","1000","1570","570","2.49",""
"JES-25-110","116.4","0","20","1586.7","1592.3","626.2","1586.6","0","2.53","1000","1630","630","2.52",""
"JES-25-110","121.45","0","19","1486.9","1492.9","581.1","1486.9","0","2.56","1000","1580","580","2.56",""
"JES-25-111","15.5","0","14","890.6","896.4","445.3","890.5","1","2","1000","1450","450","1.98",""
"JES-25-111","22.1","0","16","1104","1109.9","478.6","1104.1","0","2.31","1000","1480","480","2.3",""
"JES-25-111","24.65","0","20","1530.8","1534.2","573","1530.6","1","1","1000","1580","580","2.64",""
"JES-25-111","28.2","0","15","1134.4","1139.9","460.1","1134.4","0","2.47","1000","1460","460","2.47",""
"JES-25-111","34.95","0","16","1245.2","1250.9","466.6","1245.1","1","2.67","1000","1470","470","2.65",""
"JES-25-111","38.2","0","10","887.9","893","339.7","887.6","0","2.61","1000","1340","340","2.61",""
"JES-25-111","41.05","0","16","1169.6","1175.5","451.1","1169.5","0","2.59","1000","1450","450","2.6",""
"JES-25-111","41.5","0","14","1063.8","1069.6","417.4","1063.7","1","2.55","1000","1420","420","2.53",""
"JES-25-111","47.4","0","16","1270.6","1276.1","488","1270.6","2","2.6","1000","1480","480","2.65",""
"JES-25-111","47.6","0","16","1269","1274.6","501.7","1268.8","0","2.53","1000","1500","500","2.54",""
"JES-25-111","52.65","0","12","798.8","804.1","326.5","798.8","1","2.45","1000","1330","330","2.42",""
"JES-25-111","56.05","0","20","1567.8","1573.5","600.4","1567.5","0","2.61","1000","1600","600","2.61",""
"JES-25-111","56.7","0","15","1104.5","1110.4","428.9","1104.4","0","2.58","1000","1430","430","2.57",""
"JES-25-111","62.3","0","15","1113.8","1119.8","437.6","1113.8","1","2.55","1000","1440","440","2.53",""
"JES-25-111","66.45","0","10","841.4","847.3","340.6","841.2","0","2.47","1000","1340","340","2.47",""
"JES-25-111","70.6","0","14","1165.6","1171.1","454.7","1165.6","1","2.56","1000","1460","460","2.53",""
"JES-25-111","73.15","0","11","1099.8","1105.5","436.6","1099.7","1","2.52","1000","1440","440","2.5",""
"JES-25-111","79.1","0","18","1773.7","1779.2","659.8","1773.5","1","2.69","1000","1670","670","2.65",""
"JES-25-111","88.25","0","10","744.5","750","324.5","744.1","2","2.29","1000","1320","320","2.33",""
"JES-25-111","90.4","0","16","1231.4","1237.1","544.2","1231.2","1","2.26","1000","1550","550","2.24",""
"JES-25-111","94.2","0","11","996.5","1002.2","434.1","996.4","1","2.3","1000","1430","430","2.32",""
"JES-25-111","98.6","0","11","867","871.9","373.2","866.7","2","2.32","1000","1380","380","2.28",""
"JES-25-112","20.1","0","18","1185.8","1190.2","530.6","1185.8","0","2.23","1000","1530","530","2.24",""
"JES-25-112","24.25","0","20","1369","1374.4","601.5","1368.9","0","2.28","1000","1600","600","2.28",""
"JES-25-112","25.2","0","14","881","885.5","408.5","880.4","0","2.16","1000","1410","410","2.15",""
"JES-25-112","26.85","0","16","937.8","942.4","410.6","937.8","0","2.28","1000","1410","410","2.29",""
"JES-25-112","34.5","0","10","737.4","741","329.3","737.3","0","2.24","1000","1330","330","2.23",""
"JES-25-112","49.95","0","12","948.2","951.9","375.5","948.11","1","2.53","1000","1370","370","2.56",""
"JES-25-112","51.95","0","16","1356","1361.6","519.7","1355.8","0","2.61","1000","1520","520","2.61",""
"JES-25-112","54.5","0","20","1749.7","1756.1","654.4","1750.1","1","2.67","1000","1660","660","2.65",""
"JES-25-112","56.75","0","14","1298","1303.1","477.1","1298.1","1","2.72","1000","1480","480","2.7",""
"JES-25-112","61.45","0","18","1388.5","1393.9","421.5","1388.5","1","3.29","1000","1420","420","3.31",""
"JES-25-112","63.65","0","16","1293.3","1298.6","493.3","1293","1","2.62","1000","1490","490","2.64",""
"JES-25-112","67.7","0","15","1330.1","1335.5","511.5","1330.2","0","2.6","1000","1510","510","2.61",""
"JES-25-112","73.7","0","18","1517.9","1523.9","578.6","1517.9","0","2.62","1000","1580","580","2.62",""
"JES-25-112","78.4","0","10","696.6","700.9","284.8","696.9","2","2.45","1000","1280","280","2.49",""
"JES-25-112","82.6","0","16","1170","1175.4","491.9","1169.9","0","2.38","1000","1490","490","2.39",""
"JES-25-112","84.65","0","14","1142.9","1147.6","451.9","1142.6","0","2.53","1000","1450","450","2.54",""
"JES-25-112","96.9","0","16","702.5","706.3","269.4","702.5","0","2.61","1000","1270","270","2.6",""
"JES-25-112","99.65","0","10","473.6","477","193","473.5","3","2.45","1000","1200","200","2.37",""
"JES-25-112","103.5","0","10","479","481.6","186.6","479.1","3","2.57","1000","1180","180","2.66",""
"JES-25-112","105.2","0","15","699.7","703.2","264.8","699.6","2","2.64","1000","1260","260","2.69",""
"JES-25-112","108.6","0","14","655.5","659.2","273.8","655.5","2","2.39","1000","1270","270","2.43",""
"JES-25-112","112.93","0","15","695.4","699.6","271.7","695.5","1","2.56","1000","1270","270","2.58",""
"JES-25-112","116.05","0","17","842.3","845.9","323","842.4","1","2.61","1000","1320","320","2.63",""
"JES-25-112","118.3","0","24","1286.5","1291.1","458.1","1286.9","2","2.81","1000","1450","450","2.86",""
"JES-25-112","122.25","0","11","539.9","541.8","214.8","538.5","2","2.51","1000","1210","210","2.57",""
"JES-25-112","123.3","0","22","1092.2","1093.3","414.6","1091.8","1","2.63","1000","1410","410","2.66",""
"JES-25-112","128.05","0","16","835.5","839.6","524.5","835.4","1","1.59","1000","1520","520","1.61",""
"JES-25-112","129.35","0","14","647.7","651.6","261.1","647.3","4","2.48","1000","1250","250","2.59",""
"JES-25-112","132.8","0","15","714.4","717.6","287.6","714.4","1","2.48","1000","1290","290","2.46",""
"JES-25-112","135.05","0","14","584.5","587.4","201.4","584.2","1","2.9","1000","1200","200","2.92",""